ema_decay,epoch,lr-AdamW,step,train_loss_epoch,train_loss_step,train_pred_std,train_target_std
,,1e-05,0,,,,
0.999500036239624,0,,9,,0.26608046889305115,0.4324358403682709,0.4741574227809906
0.999500036239624,0,,19,,0.22985021770000458,0.3747718334197998,0.4436424970626831
0.999500036239624,0,,29,,0.21208098530769348,0.34871906042099,0.4555055499076843
0.9995000958442688,0,,39,,0.19779226183891296,0.31620046496391296,0.4702247977256775
0.9995000958442688,0,,49,,0.1870080977678299,0.2962241768836975,0.4500887095928192
0.9995001554489136,0,,59,,0.17571395635604858,0.2733301520347595,0.4496574401855469
0.9995001554489136,0,,69,,0.17248624563217163,0.26867252588272095,0.4722060561180115
0.9995001554489136,0,,79,,0.16587381064891815,0.25953203439712524,0.47165554761886597
0.9995002150535583,0,,89,,0.1550719439983368,0.23736727237701416,0.44972822070121765
0.9995002150535583,0,,99,,0.14885520935058594,0.22448742389678955,0.45513996481895447
0.9995002150535583,0,,109,,0.14677023887634277,0.21592026948928833,0.469419926404953
0.9995002746582031,0,,119,,0.14119061827659607,0.2122623771429062,0.4661446809768677
0.9995002746582031,0,,129,,0.13497474789619446,0.20972716808319092,0.45285481214523315
0.9995003342628479,0,,139,,0.1330520659685135,0.2001633644104004,0.47483453154563904
0.9995003342628479,0,,149,,0.12296754866838455,0.19273439049720764,0.43846696615219116
0.9995003342628479,0,,159,,0.12117591500282288,0.18875305354595184,0.4423031806945801
0.9995003938674927,0,,169,,0.1201208159327507,0.18462267518043518,0.46762615442276
0.9995003938674927,0,,179,,0.11583398282527924,0.17872266471385956,0.460994690656662
0.9995003938674927,0,,189,,0.1129208505153656,0.17703795433044434,0.4590226113796234
0.9995004534721375,0,,199,,0.10903692245483398,0.17817586660385132,0.45526203513145447
0.9995004534721375,0,,209,,0.10833009332418442,0.17410652339458466,0.47594594955444336
0.9995005130767822,0,,219,,0.10317634791135788,0.17226076126098633,0.4632419943809509
0.9995005130767822,0,,229,,0.10388888418674469,0.17291228473186493,0.4848085343837738
0.9995005130767822,0,,239,,0.09625636786222458,0.16663280129432678,0.4411829710006714
0.999500572681427,0,,249,,0.09694833308458328,0.16800010204315186,0.46896594762802124
0.999500572681427,0,,259,,0.09512241184711456,0.17340800166130066,0.4684256911277771
0.999500572681427,0,,269,,0.0912923663854599,0.16586339473724365,0.4664512574672699
0.9995006322860718,0,,279,,0.08589044958353043,0.16796629130840302,0.4460735321044922
0.9995006322860718,0,,289,,0.08586067706346512,0.17018267512321472,0.44989848136901855
0.9995006322860718,0,,299,,0.0848635733127594,0.16745778918266296,0.4603118300437927
0.9995006918907166,0,,309,,0.07969792187213898,0.16527242958545685,0.4412775933742523
0.9995006918907166,0,,319,,0.07885417342185974,0.16981780529022217,0.4570797383785248
0.9995007514953613,0,,329,,0.07818803936243057,0.1700448840856552,0.45934486389160156
0.9995007514953613,0,,339,,0.07537724077701569,0.1667810082435608,0.4519153833389282
0.9995007514953613,0,,349,,0.0734231248497963,0.17109721899032593,0.4472920894622803
0.9995008111000061,0,,359,,0.07297519594430923,0.17299923300743103,0.4617125988006592
0.9995008111000061,0,,369,,0.07258571684360504,0.17618286609649658,0.4644163250923157
0.9995008111000061,0,,379,,0.06925809383392334,0.17904019355773926,0.4537924528121948
0.9995008707046509,0,,389,,0.06687101721763611,0.17688654363155365,0.44865721464157104
0.9995008707046509,0,,399,,0.06727693229913712,0.180644690990448,0.4542681574821472
0.9995009303092957,0,,409,,0.06330282241106033,0.18208643794059753,0.44249510765075684
0.9995009303092957,0,,419,,0.06277889758348465,0.18871384859085083,0.4432832896709442
0.9995009303092957,0,,429,,0.06430818140506744,0.19196701049804688,0.4725494980812073
0.9995009899139404,0,,439,,0.060127124190330505,0.18644163012504578,0.4465160369873047
,0,,442,0.1182490736246109,,,
,,1.180000000000004e-05,443,,,,
0.9995009899139404,1,,449,,0.06292308121919632,0.2088463306427002,0.47400519251823425
0.9995009899139404,1,,459,,0.06040871888399124,0.19749799370765686,0.46589693427085876
0.9995010495185852,1,,469,,0.055605191737413406,0.20040306448936462,0.4433891773223877
0.9995010495185852,1,,479,,0.05837142467498779,0.210142120718956,0.46458038687705994
0.99950110912323,1,,489,,0.05478905141353607,0.20831261575222015,0.44998621940612793
0.99950110912323,1,,499,,0.0562686026096344,0.2156367301940918,0.4712364673614502
0.99950110912323,1,,509,,0.05254172161221504,0.21259185671806335,0.4547951817512512
0.9995011687278748,1,,519,,0.049720462411642075,0.21235284209251404,0.4381481111049652
0.9995011687278748,1,,529,,0.0532279871404171,0.21228328347206116,0.46097230911254883
0.9995011687278748,1,,539,,0.05018412321805954,0.21673117578029633,0.4541982114315033
0.9995012283325195,1,,549,,0.04667677730321884,0.21571701765060425,0.43800121545791626
0.9995012283325195,1,,559,,0.04757209122180939,0.22861270606517792,0.4560610055923462
0.9995012879371643,1,,569,,0.046500593423843384,0.22627639770507812,0.4482346177101135
0.9995012879371643,1,,579,,0.046327508985996246,0.2240975797176361,0.4501173198223114
0.9995012879371643,1,,589,,0.04417805373668671,0.23177602887153625,0.45037922263145447
0.9995013475418091,1,,599,,0.04588021710515022,0.24474585056304932,0.459093302488327
0.9995013475418091,1,,609,,0.041915807873010635,0.23120665550231934,0.4384285807609558
0.9995013475418091,1,,619,,0.043189894407987595,0.25084561109542847,0.45901161432266235
0.9995014071464539,1,,629,,0.041049353778362274,0.23980753123760223,0.43606722354888916
0.9995014071464539,1,,639,,0.03908861055970192,0.2436799257993698,0.44031471014022827
0.9995014071464539,1,,649,,0.04287847504019737,0.2534777522087097,0.469082772731781
0.9995014667510986,1,,659,,0.03954862058162689,0.25522398948669434,0.4554365575313568
0.9995014667510986,1,,669,,0.03899657353758812,0.25549575686454773,0.4556445777416229
0.9995015263557434,1,,679,,0.03906548023223877,0.26482829451560974,0.45519718527793884
0.9995015263557434,1,,689,,0.03901991993188858,0.2621968686580658,0.45739230513572693
0.9995015263557434,1,,699,,0.03650781884789467,0.2676050364971161,0.45273536443710327
0.9995015859603882,1,,709,,0.035602159798145294,0.26005083322525024,0.44438204169273376
0.9995015859603882,1,,719,,0.03898521512746811,0.2721586525440216,0.4758899211883545
0.9995015859603882,1,,729,,0.03985238075256348,0.27290111780166626,0.48134860396385193
0.999501645565033,1,,739,,0.03621130809187889,0.2824147939682007,0.458840936422348
0.999501645565033,1,,749,,0.03360418230295181,0.2786792516708374,0.4565102458000183
0.9995017051696777,1,,759,,0.03660186007618904,0.2966124415397644,0.48110437393188477
0.9995017051696777,1,,769,,0.0329861082136631,0.2924203872680664,0.4623797833919525
0.9995017051696777,1,,779,,0.03549588471651077,0.30111849308013916,0.4804157614707947
0.9995017647743225,1,,789,,0.03432007133960724,0.3085087537765503,0.4844376742839813
0.9995017647743225,1,,799,,0.03359660506248474,0.30268093943595886,0.4791158139705658
